,Date,Target,S,err,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
345,9/27/20 6:02,Kepler-96,0.27359060399999996,0.012879722,,,,,,,,,,,,,,,,,,,,,,
346,3/21/21 3:36,Procyon,0.181732125,0.007931601,,,,,,,,,,,,,,,,,,,,,,
347,3/21/21 3:39,Procyon,0.18062592800000002,0.007890373000000001,,,,,,,,,,,,,,,,,,,,,,
348,3/21/21 3:44,Procyon,0.182534914,0.007987062,,,,,,,,,,,,,,,,,,,,,,
349,11/21/21 10:16,Procyon,0.177425518,0.007743511,,,,,,,,,,,,,,,,,,,,,,
350,6/10/20 6:18,Qatar- 6,0.570218356,0.027210335,,,,,,,,,,,,,,,,,,,,,,
351,6/10/20 3:33,Qatar-8,0.17026760300000002,0.008440185,,,,,,,,,,,,,,,,,,,,,,
352,1/10/22 12:20,Qatar-8,0.189768092,0.010305205999999999,,,,,,,,,,,,,,,,,,,,,,
353,3/3/21 10:46,TOI 1180.01,0.437972355,0.023600974,,,,,,,,,,,,,,,,,,,,,,
354,2/16/22 10:52,TOI 1180.01,0.337692379,0.020402095,,,,,,,,,,,,,,,,,,,,,,
355,6/6/21 10:33,TOI 1184.01,0.6976118659999999,0.043972752000000004,,,,,,,,,,,,,,,,,,,,,,
356,3/3/21 7:58,TOI 1260.01,0.989264354,0.054989095,,,,,,,,,,,,,,,,,,,,,,
357,1/10/22 11:48,TOI 1260.01,1.0670272440000002,0.06165703,,,,,,,,,,,,,,,,,,,,,,
358,1/12/22 12:35,TOI 1260.01,1.135998188,0.061426932999999996,,,,,,,,,,,,,,,,,,,,,,
359,8/20/21 8:26,TOI 1280.01,0.134244001,0.006527495,,,,,,,,,,,,,,,,,,,,,,
360,8/20/21 7:33,TOI 1301.01,0.588583162,0.031341613,,,,,,,,,,,,,,,,,,,,,,
361,5/29/21 10:49,TOI 1346.01,0.551312288,0.027686534,,,,,,,,,,,,,,,,,,,,,,
362,8/20/21 9:16,TOI 1410.01,0.43025735299999995,0.021244447000000003,,,,,,,,,,,,,,,,,,,,,,
363,3/3/21 11:11,TOI 1411.01,1.064466015,0.053737042,,,,,,,,,,,,,,,,,,,,,,
364,2/20/21 10:47,TOI 1416.01,0.304728595,0.013848613999999999,,,,,,,,,,,,,,,,,,,,,,
365,9/11/21 9:57,TOI 1423.01,0.213363107,0.011517609,,,,,,,,,,,,,,,,,,,,,,
366,8/20/21 9:49,TOI 1424.01,0.420676583,0.021099386,,,,,,,,,,,,,,,,,,,,,,
367,6/21/21 7:13,TOI 1450.01,0.759453851,0.051011949,,,,,,,,,,,,,,,,,,,,,,
368,6/21/21 4:39,TOI 1453.01,0.370169714,0.022315687999999997,,,,,,,,,,,,,,,,,,,,,,
369,8/29/21 10:35,TOI 1467.01,1.219656247,0.064788804,,,,,,,,,,,,,,,,,,,,,,
370,10/29/21 6:25,TOI 1467.01,1.052199501,0.055467700999999994,,,,,,,,,,,,,,,,,,,,,,
371,8/29/21 10:01,TOI 1468.01,1.134928001,0.071284535,,,,,,,,,,,,,,,,,,,,,,
372,10/11/21 8:10,TOI 1468.01,1.4157539780000001,0.083557134,,,,,,,,,,,,,,,,,,,,,,
373,8/20/21 10:22,TOI 1544.01,0.17691863600000002,0.00937334,,,,,,,,,,,,,,,,,,,,,,
374,8/29/21 11:10,TOI 1563.01,0.9465198159999999,0.044320781,,,,,,,,,,,,,,,,,,,,,,
375,10/11/21 8:53,TOI 1563.01,1.026624805,0.047620826,,,,,,,,,,,,,,,,,,,,,,
376,6/6/21 10:59,TOI 1643.01,0.708774131,0.037657216,,,,,,,,,,,,,,,,,,,,,,
377,9/22/21 9:06,TOI 1648.01,0.297501635,0.014604047,,,,,,,,,,,,,,,,,,,,,,
378,9/22/21 10:19,TOI 1683.01,1.039114447,0.049690153,,,,,,,,,,,,,,,,,,,,,,
379,10/11/21 9:28,TOI 1683.01,1.054044255,0.049762968,,,,,,,,,,,,,,,,,,,,,,
380,2/20/21 7:12,TOI 1693.01,0.7474333559999999,0.059119902,,,,,,,,,,,,,,,,,,,,,,
381,10/11/21 10:01,TOI 1693.01,1.093252539,0.063231888,,,,,,,,,,,,,,,,,,,,,,
382,2/20/21 7:44,TOI 1701.01,0.36851691299999995,0.021730922000000003,,,,,,,,,,,,,,,,,,,,,,
383,10/11/21 10:34,TOI 1701.01,0.298639282,0.015442343,,,,,,,,,,,,,,,,,,,,,,
384,11/20/21 8:54,TOI 1701.01,0.2593696,0.013446675,,,,,,,,,,,,,,,,,,,,,,
385,2/20/21 8:18,TOI 1730.01,0.924927721,0.059609497000000004,,,,,,,,,,,,,,,,,,,,,,
386,10/11/21 11:07,TOI 1730.01,1.3658149990000001,0.069620608,,,,,,,,,,,,,,,,,,,,,,
387,5/25/21 10:10,TOI 1739.01,0.7162049970000001,0.035954851,,,,,,,,,,,,,,,,,,,,,,
388,5/29/21 9:43,TOI 1741.01,0.792866505,0.042541404000000005,,,,,,,,,,,,,,,,,,,,,,
389,6/6/21 9:49,TOI 1747.01,0.959660795,0.054269935,,,,,,,,,,,,,,,,,,,,,,
390,6/6/21 9:16,TOI 1748.01,0.7648138790000001,0.039631521,,,,,,,,,,,,,,,,,,,,,,
391,9/11/21 8:47,TOI 1759.01,1.297789172,0.068609256,,,,,,,,,,,,,,,,,,,,,,
392,2/6/21 9:28,TOI 1801.01,2.156004753,0.105066011,,,,,,,,,,,,,,,,,,,,,,
393,1/25/22 11:34,TOI 1801.01,2.292695807,0.10995858900000001,,,,,,,,,,,,,,,,,,,,,,
394,3/3/21 10:13,TOI 1807.01,0.93559546,0.043553468,,,,,,,,,,,,,,,,,,,,,,
395,2/16/22 11:13,TOI 1807.01,0.929108995,0.04292585,,,,,,,,,,,,,,,,,,,,,,
396,3/3/21 9:40,TOI 1823.01,0.370340556,0.017985888000000002,,,,,,,,,,,,,,,,,,,,,,
397,2/16/22 10:28,TOI 1823.01,0.33322445300000003,0.015885417,,,,,,,,,,,,,,,,,,,,,,
398,2/20/21 10:19,TOI 1827.01,0.6556781939999999,0.034789814,,,,,,,,,,,,,,,,,,,,,,
399,2/16/22 8:21,TOI 1827.01,0.521816244,0.029481082999999998,,,,,,,,,,,,,,,,,,,,,,
400,8/20/21 11:15,TOI 2009.01,0.666417491,0.031937118,,,,,,,,,,,,,,,,,,,,,,
401,8/20/21 11:23,TOI 2009.01,0.64290291,0.030239531,,,,,,,,,,,,,,,,,,,,,,
402,10/11/21 8:31,TOI 2009.01,0.653221164,0.029989405,,,,,,,,,,,,,,,,,,,,,,
