,pl_hostname,Gmag/Tmag,st_mass,st_rad,st_teff,SP_TYPE,ra,dec,exptime,B,V,Unnamed: 11,log R'_HK,vsini_brewer,vsini_aspcap,Prot_deriv_days,Prot_phot_days,eProt_phot_days,DR3,G,BP,RP,parallax,sp_type_mamajek,In Activity Catalogue,UT Dates observed,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
101,TOI 2104.01,10.06,,0.72,4907.0,,10:06:26.9315,+83:05:16.2228,30,,,TOI,-4.44,0.0,0.0,0.0,0.0,0.0,,10.64,11.16,10.01,13.0,K2V,1,03-03-2021,1/10/2022,2/27/2022,,,,,,,,,,,,,,,
102,HD 88355,,,,,F6V,10:11:38.21087,+13:21:18.4250,2,6.89,6.43,Baliunas,-4.57,0.0,0.0,0.0,0.0,0.0,,6.3,6.57,5.94,15.5,F5V,0,2/16/2022,,,,,,,,,,,,,,,,,
103,GJ 2079,9.36,,,,M0.7V,10:14:19.1632,+21:04:29.817,30,11.45,10.08,PMSU,-3.63,0.0,0.0,0.0,0.0,0.0,,9.36,10.32,8.41,42.7,M0V,1,2/13/2022,,,,,,,,,,,,,,,,,
104,HD 88737,,,,,F9V,10:14:29.74847,+21:10:04.9940,1,,,Baliunas,-4.37,0.0,0.0,0.0,0.0,0.0,,5.88,6.19,5.47,18.5,F9V,0,1/12/2022,,,,,,,,,,,,,,,,,
105,HD 89345,9.22,1.16,1.75,5580.0,G5,10:18:41.06,10:07:44.5,30,10.15,9.38,,-4.89,0.0,0.0,0.0,0.0,0.0,,9.22,9.61,8.71,7.5,G7V,0,1/6/2021,2/13/2022,,,,,,,,,,,,,,,,
106,AD Leo,8.21,,,3859.0,dM3,10:19:36.28,19:52:12,15,10.82,9.52,PMSU,-3.54,0.0,,0.0,0.0,0.0,,8.21,9.63,7.05,201.4,M3V,1,2/6/2021,1/12/2022,,,,,,,,,,,,,,,,
107,HD 89744,,,,,F7V,10:22:10.56333,+41:13:46.3440,1,,,Baliunas,-4.88,0.0,0.0,0.0,0.0,0.0,,5.59,5.89,5.2,25.9,F7V,0,3/20/2022,,,,,,,,,,,,,,,,,
108,HAT-P-22,9.52,1.13,1.11,5300.0,G5,10:22:43.61,50:07:42,30,10.62,9.76,,-4.8,,0.0,28.08,0.0,0.0,,9.52,9.95,8.96,12.2,G5V,0,3/21/2021,2/11/2022,,,,,,,,,,,,,,,,
109,KELT-4 A,9.96,1.2,1.6,6210.0,,10:28:15.01,25:34:23.5,30,10.5,9.98,,-4.83,,0.0,21.88,0.0,0.0,,9.96,10.2,9.53,4.6,F6V,0,1/10/2022,,,,,,,,,,,,,,,,,
110,TOI 1260.01,10.81,,0.69,4225.0,,10:28:34.5771,+65:51:15.1149,30,,,TOI,-4.22,0.0,0.0,0.0,0.0,0.0,,11.57,12.33,10.76,13.6,K6V,1,03-03-2021,1/10/2022,1/12/2022,,,,,,,,,,,,,,,
111,Qatar-8,11.35,1.03,1.31,5740.0,,10:29:38.962,70:31:37.5,30,,,,-4.72,0.0,0.0,0.0,0.0,0.0,,11.35,11.7,10.86,3.5,G3V,0,6/10/2020,1/10/2022,,,,,,,,,,,,,,,,
112,K2-266,11.35,0.69,0.7,4280.0,K5V,10:31:44.51,00:56:15.3,30,,,,-4.69,0.0,0.0,0.0,0.0,0.0,,11.35,12.05,10.58,12.9,K5V,1,1/5/2021,1/25/2022,,,,,,,,,,,,,,,,
113,WASP-127,10.05,1.08,1.39,5620.0,G5,10:42:14.08,-03:50:06.2,30,10.81,10.17,,-4.77,0.0,0.0,0.0,0.0,0.0,,10.05,10.39,9.58,6.2,G1V,0,1/6/2021,2/11/2022,,,,,,,,,,,,,,,,
114,KELT-24,8.24,1.46,1.51,6510.0,F5,10:47:38.35,71:39:21.2,12,8.82,8.33,,-4.62,0.0,0.0,0.0,0.0,0.0,,8.24,8.48,7.88,10.3,F5V,0,6/10/2020,1/25/2022,,,,,,,,,,,,,,,,
115,K2-261,10.46,1.1,1.65,5540.0,G7IV-V,10:52:07.78,00:29:36.1,30,11.56,10.64,,-4.66,0.0,0.0,0.0,0.0,0.0,,10.46,10.87,9.92,4.7,G8V,0,1/6/2021,1/25/2022,,,,,,,,,,,,,,,,
116,DS Leo,8.8,,,,M1.0V,11:02:38.34,21:58:01.7,21,11.05,9.57,SPARCS,-3.79,0.0,0.0,0.0,0.0,0.0,,8.81,9.85,7.83,83.8,M0.5V,1,2/6/2021,1/12/2022,,,,,,,,,,,,,,,,
117,HD 95735,,,,,M2+V,11:03:20.19693,+35:58:11.2800,6,8.96,7.52,Baliunas,-5.04,0.0,,0.0,0.0,0.0,,6.55,7.69,5.48,392.8,M1.5V,1,3/31/2021,2/16/2022,,,,,,,,,,,,,,,,
118,WASP-106,11.37,0.93,1.31,6060.0,F9,11:05:43.14,-05:04:45.9,30,12.04,11.21,,-4.67,0.0,0.0,0.0,0.0,0.0,,11.37,11.65,10.94,2.8,F8V,0,1/6/2021,2/11/2022,,,,,,,,,,,,,,,,
119,HD 97334,,,,,G2,11:12:32.35080,+35:48:50.6840,1,7.02,,Baliunas,-4.2,,0.0,0.0,0.0,0.0,,6.24,6.59,5.8,44.1,G0V,0,5/23/2021,2/16/2022,,,,,,,,,,,,,,,,
120,HD 97658,7.51,0.89,0.74,5180.0,K1V,11:14:33.16,25:42:37.4,6,8.57,7.71,,-4.63,,0.0,374.38,0.0,0.0,,7.51,7.97,6.95,46.3,K1V,1,6/10/2020,1/6/2021,,,,,,,,,,,,,,,,
121,K2-36,11.53,0.79,0.72,4920.0,,11:17:47.78,03:51:59,30,12.57,11.73,,-4.21,,0.0,13.49,8.52,0.0,,11.53,12.07,10.86,9.1,K3V,1,1/10/2022,2/16/2022,,,,,,,,,,,,,,,,
122,K2-3,11.48,0.6,0.56,3900.0,M1V,11:29:20.39,-01:27:17.2,30,13.52,12.17,,-4.37,0.0,0.0,0.0,19.89,2.01,,11.48,12.4,10.55,22.7,M0V,1,1/5/2021,1/12/2022,,,,,,,,,,,,,,,,
123,HD 100180,,,,,F9.5V,11:31:44.94480,+14:21:52.2580,1,6.77,,Baliunas,-4.65,,0.0,0.0,0.0,0.0,,6.12,6.44,5.7,42.3,F9V,0,2/16/2022,,,,,,,,,,,,,,,,,
124,HD 100563,,,,,F5.5V,11:34:21.95040,+03:03:36.6160,1,6.23,,Baliunas,-4.5,0.0,0.0,0.0,0.0,0.0,,5.63,5.89,5.29,37.0,F5V,0,3/31/2021,2/16/2022,,,,,,,,,,,,,,,,
125,HD 101501,,,,,G8V,11:41:03.01633,+34:12:05.9260,1,6.08,5.34,Baliunas,-4.36,,0.0,0.0,0.0,0.0,,5.08,5.51,4.61,104.4,G7V,1,5/23/2021,3/20/2022,,,,,,,,,,,,,,,,
126,Gl 436,9.57,0.47,0.46,3684.0,M3V,11:42:11.09,26:42:23.7,30,12.06,10.61,,-4.67,0.0,,4.78,0.0,0.0,,9.57,10.92,8.46,102.3,M2.5V,1,6/10/2020,1/6/2021,2/11/2022,,,,,,,,,,,,,,,
127,TOI 1801.01,9.86,,0.55,3815.0,,11:42:18.1439,+23:01:37.3205,30,,,TOI,-4.06,0.0,0.0,0.0,0.0,0.0,,10.83,11.82,9.87,32.6,M0V,1,2/6/2021,1/25/2022,,,,,,,,,,,,,,,,
128,HD 103095,,,,,K1V_Fe-1.5,11:52:58.77,+37:43:07.25,2,7.2,6.45,Baliunas,-4.68,0.0,,0.0,0.0,0.0,,13.81,14.14,13.32,0.8,G1V,1,3/31/2021,3/20/2022,,,,,,,,,,,,,,,,
129,TOI 2105.01,9.86,,0.82,4718.0,,12:04:15.4652,+83:26:16.9228,30,,,TOI,-4.51,0.0,0.0,0.0,0.0,0.0,,10.48,11.05,9.81,13.7,K3V,1,03-03-2021,1/25/2022,,,,,,,,,,,,,,,,
130,K2-131,11.9,0.84,0.75,5240.0,,12:11:00.37,-09:45:54.8,30,13.05,12.11,,-4.19,0.0,0.0,0.0,8.72,0.0,,11.9,12.38,11.28,6.5,K2V,0,2/6/2021,2/11/2022,,,,,,,,,,,,,,,,
131,K2-244,11.63,0.86,0.92,5680.0,,12:13:52.54,-03:49:54.7,30,12.2,11.78,,-4.6,0.0,0.0,0.0,0.0,0.0,,11.63,11.98,11.13,4.7,G4V,0,2/6/2021,2/16/2022,,,,,,,,,,,,,,,,
132,HD 106315,8.89,1.09,1.3,6330.0,F5V,12:13:53.39,-00:23:36.5,22,9.4,8.95,,-4.7,0.0,0.0,0.0,0.0,0.0,,8.89,9.14,8.52,9.1,F5V,0,3/31/2021,3/20/2022,,,,,,,,,,,,,,,,
133,HD 107213,,,,,F8Va,12:19:29.52647,+28:09:24.9300,1,6.83,,Baliunas,-4.9,0.0,0.0,0.0,0.0,0.0,,6.24,6.53,5.85,20.9,F7V,0,3/20/2022,,,,,,,,,,,,,,,,,
134,TOI 2079.01,10.85,,0.48,3577.0,,12:21:21.1664,+57:45:08.5094,30,,,,-4.13,0.0,0.0,0.0,0.0,0.0,,11.96,13.15,10.89,26.9,M2V,1,03-03-2021,1/25/2022,,,,,,,,,,,,,,,,
135,K2-162,11.97,0.75,0.69,4840.0,K5V,12:24:09.28,-01:06:40.9,30,13.31,12.3,,-4.43,0.0,,0.0,14.97,1.1,,11.97,12.53,11.28,8.0,K3V,1,2/6/2021,2/16/2022,,,,,,,,,,,,,,,,
136,K2-229,10.79,0.87,0.79,5320.0,,12:27:29.58,-06:43:18.7,30,12.05,10.98,,-4.28,0.0,0.0,0.0,20.33,2.12,,10.79,11.24,10.2,9.7,K1V,1,2/20/2021,2/16/2022,,,,,,,,,,,,,,,,
137,Ross 948,,,,,M2V,12:28:53.3110,-10:39:48.602,30,12.79,11.41,PMSU,-4.1,0.0,0.0,0.0,0.0,0.0,,10.64,11.87,9.56,51.5,M2V,0,3/20/2022,,,,,,,,,,,,,,,,,
138,WASP-107,11.17,0.69,0.66,4430.0,K7V,12:33:32.85,-10:08:46.1,30,14.62,11.47,,-4.29,0.0,0.0,0.0,16.41,1.31,,11.17,11.93,10.37,15.4,K6V,1,2/20/2021,3/20/2022,,,,,,,,,,,,,,,,
139,TOI 1827.01,8.82,,0.33,3297.0,,12:47:55.5674,+09:44:57.9051,21,,,note GJ 486,-4.84,0.0,0.0,0.0,0.0,0.0,,10.09,11.66,8.9,123.8,M3V,1,2/20/2021,2/16/2022,3/20/2022,,,,,,,,,,,,,,,
140,HD 111456,,,,,F6V,12:48:39.46467,+60:19:11.6150,1,6.3,5.83,Baliunas,-4.22,0.0,0.0,0.0,0.0,0.0,,5.69,5.98,5.31,38.2,F7V,0,3/20/2022,,,,,,,,,,,,,,,,,
141,GJ 487,,,,,M3V,12:49:02.7563,+66:06:36.664,30,12.56,9.71,PMSU,-4.09,0.0,0.0,0.0,0.0,0.0,,9.71,11.18,8.53,97.9,M3V,0,3/20/2022,,,,,,,,,,,,,,,,,
142,GJ 490 A,,,,,M0V+M4/5V,12:57:40.2114,+35:13:30.069,30,12.2,9.77,PMSU,-3.58,0.0,0.0,0.0,0.0,0.0,,9.77,10.84,8.78,46.8,M0.5V,0,3/20/2022,,,,,,,,,,,,,,,,,
143,GJ 494,8.91,,,,M0V,13:00:46.5602,+12:22:32.716,30,11.23,9.75,PMSU,-3.52,0.0,0.0,0.0,0.0,0.0,,8.91,10.03,7.88,86.9,M1.5V,1,3/20/2022,,,,,,,,,,,,,,,,,
144,TOI 1823.01,9.77,,0.82,4760.0,,13:04:52.7328,+63:45:11.7397,30,,,TOI,-4.5,0.0,0.0,0.0,0.0,0.0,,10.39,10.95,9.72,13.9,K3V,1,03-03-2021,2/16/2022,,,,,,,,,,,,,,,,
145,HD 114378,,,,,F5V,13:09:59.28693,+17:31:45.9840,1,5.25,4.8,Baliunas,-4.33,0.0,0.0,0.0,0.0,0.0,,4.66,4.44,3.81,,F5V,0,,,,,,,,,,,,,,,,,,
146,HD 114710,,,,,F9.5V,13:11:52.39440,+27:52:40.9760,1,4.84,4.25,Baliunas,-4.57,0.0,0.0,0.0,0.0,0.0,,4.02,4.41,3.66,108.7,F9V,0,3/31/2021,,,,,,,,,,,,,,,,,
147,HD 115043,,,,,G1Va,13:13:37.00967,+56:42:29.7610,3,7.42,6.81,Baliunas,-4.25,0.0,0.0,0.0,0.0,0.0,,6.64,6.98,6.19,39.7,G0V,0,5/23/2021,,,,,,,,,,,,,,,,,
148,HD 115383,,,,,G0V,13:16:46.51533,+09:25:26.9470,1,5.81,,Baliunas,-4.25,0.0,0.0,0.0,0.0,0.0,,5.0,5.36,4.62,57.0,F9V,0,5/23/2021,1/12/2022,,,,,,,,,,,,,,,,
149,HD 115404,,,,,K2V,13:16:51.04827,+17:01:01.8450,2,7.69,6.66,Baliunas,-4.24,,0.0,0.0,0.0,0.0,,6.28,6.78,5.67,91.0,K2V,1,3/31/2021,1/12/2022,,,,,,,,,,,,,,,,
150,HD 115617,,,,,G6.5V,13:18:24.3,-18:18:40.3,1,5.44,4.74,Baliunas,-4.74,,0.0,0.0,0.0,0.0,,4.48,4.93,4.05,117.2,G6V,0,3/31/2021,,,,,,,,,,,,,,,,,
151,TOI 1807.01,9.04,,0.74,4613.0,,13:25:07.8302,+38:55:20.5217,26,,,,-4.04,0.0,0.0,0.0,0.0,0.0,,9.68,10.26,8.99,23.5,K3V,1,03-03-2021,2/16/2022,,,,,,,,,,,,,,,,
152,HD 119130,9.76,1.0,1.09,5720.0,G3V,13:41:30.3,-09:56:45.9,30,10.58,9.92,,-4.73,0.0,0.0,0.0,0.0,0.0,,9.76,10.11,9.27,8.7,G3V,0,6/7/2020,5/16/2022,,,,,,,,,,,,,,,,
153,HD 120136,,,,,F7IV-V,13:47:15.74280,+17:27:24.8220,1,4.98,4.49,Baliunas,-4.57,0.0,0.0,0.0,0.0,0.0,,4.29,4.63,3.99,63.9,F5V,0,1/12/2022,,,,,,,,,,,,,,,,,
154,Wolf 503,9.9,0.69,0.69,4720.0,K3.5V,13:47:23.44,-06:08:12.7,30,11.3,10.28,,-4.69,0.0,0.0,0.0,0.0,0.0,,9.9,10.49,9.2,22.4,K3V,1,6/10/2020,5/16/2022,,,,,,,,,,,,,,,,
155,HAT-P-26,11.46,1.12,0.87,5080.0,K1,14:12:37.53,04:03:36,30,12.33,11.76,,-4.76,0.0,0.0,0.0,0.0,0.0,,11.46,11.95,10.85,7.0,K1V,1,6/10/2020,5/16/2022,,,,,,,,,,,,,,,,
156,HD 124570,,,,,F8V,14:14:05.17967,+12:57:34.0020,1,6.08,,Baliunas,-4.98,0.0,,0.0,0.0,0.0,,5.37,5.69,4.98,29.7,F8V,0,2/11/2022,,,,,,,,,,,,,,,,,
157,HD 124850,,,,,F7III,14:16:00.88393,-05:59:58.4230,1,4.6,4.08,Baliunas,-4.49,0.0,0.0,0.0,0.0,0.0,,3.88,4.23,3.53,45.5,F8V,0,4/16/2022,,,,,,,,,,,,,,,,,
158,TOI 1180.01,10.11,,0.73,4738.0,,14:18:13.3858,+82:11:37.551,30,,,TOI,-4.47,0.0,0.0,0.0,0.0,0.0,,10.74,11.32,10.06,13.9,K3V,1,03-03-2021,2/16/2022,,,,,,,,,,,,,,,,
159,HD 126053,,,,,G1.5V,14:23:15.28467,+01:14:29.6770,1,6.9,6.27,Baliunas,-4.69,,0.0,0.0,0.0,0.0,,6.08,6.44,5.61,57.3,G2V,0,4/16/2022,,,,,,,,,,,,,,,,,
160,KELT-18,10.1,1.52,1.91,6670.0,F5,14:26:05.76,59:26:39.4,30,10.62,10.16,,-4.37,0.0,0.0,0.0,0.0,0.0,,10.1,10.32,9.78,3.1,F3V,0,9/29/2020,,,,,,,,,,,,,,,,,
161,TOI 1416.01,9.07,,0.8,4946.0,,14:27:41.6374,+41:57:10.7503,27,,,TOI,-4.54,0.0,0.0,0.0,0.0,0.0,,9.65,10.16,9.03,18.1,K2V,1,2/20/2021,3/20/2022,,,,,,,,,,,,,,,,
162,TOI 2076.01,8.92,,,5250.0,,14:29:34.24,39:47:25.5,25,10.03,9.14,TOI,,0.0,0.0,0.0,0.0,0.0,,8.91,9.37,8.33,23.8,K0V,1,4/27/2023,,,,,,,,,,,,,,,,,
163,WASP-14,9.65,1.62,1.4,6480.0,F5V,14:33:06.35,21:53:41,30,10.19,9.74,,-4.81,,0.0,708.29,0.0,0.0,,9.65,9.89,9.28,6.1,F5V,0,6/7/2020,5/16/2022,,,,,,,,,,,,,,,,
164,HD 129333,,,,,G1.5V,14:39:00.21573,+64:17:29.8430,6,8.24,7.6,Baliunas,-3.99,,0.0,0.0,0.0,0.0,,7.5,7.87,6.99,29.0,G6V,0,3/21/2021,,,,,,,,,,,,,,,,,
165,Qatar-6,11.13,0.82,0.72,5050.0,,14:48:50.42,22:09:09.4,30,,,,-4.19,0.0,0.0,0.0,0.0,0.0,,11.12,11.66,10.49,9.9,K2V,1,6/10/2020,5/16/2022,,,,,,,,,,,,,,,,
166,HD 131156 B,,,,,K5Ve,14:51:23.05200,+19:06:06.7680,2,7.98,6.82,Baliunas,-4.1,0.0,0.0,0.0,0.0,0.0,,6.43,7.13,5.62,148.5,K5Ve,1,3/21/2021,4/16/2022,4/27/2023,,,,,,,,,,,,,,,
167,HD 131156 A,,,,,G7Ve,14:51:23.28600,+19:06:02.2500,1,5.4,4.68,Baliunas,-4.18,,0.0,0.0,0.0,0.0,,4.42,4.88,3.96,148.5,G8V,0,3/21/2021,4/16/2022,,,,,,,,,,,,,,,,
168,WASP-113,11.6,1.32,1.61,5890.0,,14:59:29.47,46:57:36.4,30,,11.77,,-4.86,0.0,,12.47,0.0,0.0,,11.6,11.93,11.14,2.3,G0V,0,6/7/2020,,,,,,,,,,,,,,,,,
169,HD 136202,,,,,F8IV,15:19:18.79847,+01:45:55.5480,1,5.6,,Baliunas,-4.8,,,0.0,0.0,0.0,,4.87,5.21,4.52,39.8,F7V,0,3/20/2022,,,,,,,,,,,,,,,,,
170,TOI 2018.01,8.96,,0.62,4219.0,,15:19:20.9861,+29:12:28.3576,24,,,TOI,-4.19,0.0,0.0,0.0,0.0,0.0,,9.72,10.47,8.91,35.7,K6V,1,2/20/2021,3/20/2022,,,,,,,,,,,,,,,,
171,GJ 581,10.56,,,,M3V,15:19:26.5944,-07:43:28.92,30,11.76,10.56,MUSCLES,-4.69,0.0,0.0,0.0,0.0,0.0,,9.41,10.84,8.27,158.7,M3V,1,5/29/2021,5/22/2022,,,,,,,,,,,,,,,,
172,GJ 9520,9.11,,,,M1.0V,15:21:52.9325,+20:58:39.910,30,11.52,10.0,PMSU,-3.51,0.0,0.0,0.0,0.0,0.0,,9.11,10.28,8.06,87.4,M1.5V,1,5/16/2022,,,,,,,,,,,,,,,,,
173,KELT-23 A,10.18,0.94,1.0,5900.0,K,15:28:35.1926,66:21:31.544,30,10.9,10.31,,-4.74,0.0,0.0,0.0,0.0,0.0,,10.18,10.51,9.72,7.9,G0V,1,9/29/2020,,,,,,,,,,,,,,,,,
174,TOI 2023.01,8.5,,0.7,4958.0,,15:31:27.2028,+33:54:09.0563,16,,,TOI,-4.45,0.0,0.0,0.0,0.0,0.0,,9.08,9.58,8.46,27.1,K2V,1,4/16/2022,,,,,,,,,,,,,,,,,
175,TOI 1411.01,9.1,,0.69,4184.0,,15:31:47.0513,+47:03:19.9826,27,,,TOI,-4.24,0.0,0.0,0.0,0.0,0.0,,9.88,10.65,9.06,30.8,K6V,1,03-03-2021,3/20/2022,,,,,,,,,,,,,,,,
176,HD 141004,,,,,G0-V,15:46:26.61333,+07:21:11.0660,1,5.03,4.42,Baliunas,-4.75,,0.0,0.0,0.0,0.0,,4.2,4.59,3.81,84.6,F9.5V,0,4/16/2022,,,,,,,,,,,,,,,,,
177,HD 142373,,,,,F8VFe-2Hdel-1,15:52:40.54273,+42:27:05.4970,1,5.19,4.62,Baliunas,-4.87,0.0,0.0,0.0,0.0,0.0,,4.37,4.76,3.99,63.2,F9.5V,0,,,,,,,,,,,,,,,,,,
178,TOI 2103.01,10.34,,0.8,4884.0,,15:56:04.0604,+73:04:26.1116,30,,,TOI,-4.55,0.0,0.0,0.0,0.0,0.0,,10.93,11.45,10.29,10.4,K2V,1,5/23/2021,5/25/2021,3/20/2022,,,,,,,,,,,,,,,
179,TOI 2013.01,10.27,,0.33,3352.0,,15:58:18.6163,+35:24:29.2108,30,,,TOI,-4.74,0.0,0.0,0.0,0.0,0.0,,11.51,12.99,10.34,63.2,M3V,1,5/25/2021,,5/16/2022,,,,,,,,,,,,,,,
180,TOI 1739.01,9.81,,0.78,4814.0,,16:00:41.3954,+83:15:31.1722,30,,,TOI,-4.12,0.0,0.0,0.0,0.0,0.0,,10.42,10.96,9.77,14.1,K2V,1,5/25/2021,3/20/2022,,,,,,,,,,,,,,,,
181,HD 143761,,,,,G0+VaFe-1,16:01:02.66040,+33:18:12.6220,1,6.01,,Baliunas,-4.79,,0.0,0.0,0.0,0.0,,5.21,5.57,4.78,57.2,G0V,0,,,,,,,,,,,,,,,,,,
182,XO-1,11.0,0.88,0.88,5750.0,G1V,16:02:11.84,28:10:10.5,30,11.88,11.25,,-4.56,,0.0,21.2,0.0,0.0,,11.0,11.37,10.5,6.1,G6V,0,6/10/2020,,,,,,,,,,,,,,,,,
183,WASP-38,9.21,1.76,1.52,6180.0,F8,16:15:50.36,10:01:57.2,30,9.87,9.39,,-4.73,,0.0,9.99,0.0,0.0,,9.21,9.5,8.79,7.3,F8V,0,6/7/2020,5/22/2022,,,,,,,,,,,,,,,,
184,GJ 9552,9.06,,,,M1.5Ve,16:17:05.3397,+55:16:08.810,30,10.92,9.46,PMSU,-3.59,0.0,0.0,0.0,0.0,0.0,,9.06,10.2,8.03,49.4,M1.5V,1,4/12/2022,,,,,,,,,,,,,,,,,
185,TOI 1741.01,10.58,,0.61,4324.0,,16:28:10.4293,+63:29:56.7542,30,,,TOI,-4.29,0.0,0.0,0.0,0.0,0.0,,11.31,12.03,10.52,16.1,K5V,1,5/29/2021,3/20/2022,,,,,,,,,,,,,,,,
186,HD 149026,8.01,1.42,1.41,6180.0,G0IV,16:30:29.62,38:20:50.3,10,8.75,8.14,,-4.82,,0.0,13.21,0.0,0.0,,8.01,8.32,7.59,13.2,F9V,0,6/7/2020,,,,,,,,,,,,,,,,,
187,HD 149661,,,,,K1V,16:36:21.44953,-02:19:28.3150,1,6.55,5.77,Baliunas,-4.38,0.0,0.0,0.0,0.0,0.0,,5.53,5.99,4.98,100.8,K0V,1,5/29/2021,,,,,,,,,,,,,,,,,
188,HD 152391,,,,,G8.5Vk:,16:52:58.80360,-00:01:34.6010,2,7.4,6.64,Baliunas,,,0.0,0.0,0.0,0.0,,6.43,6.83,5.9,0.5,G8V,1,,,,,,,,,,,,,,,,,,
189,GJ 649,9.66,,,,M2V,16:58:09.3264,25:44:38.868,30,11.14,9.65,MUSCLES,-4.26,0.0,0.0,0.0,0.0,0.0,,8.82,9.92,7.8,96.3,M1V,1,5/25/2021,5/22/2022,,,,,,,,,,,,,,,,
190,TOI 2279.01,10.25,,0.79,4962.0,,17:00:58.9908,+45:23:10.6178,30,,,TOI,-4.11,0.0,0.0,0.0,0.0,0.0,,10.82,11.32,10.2,10.6,K2V,1,5/29/2021,,,,,,,,,,,,,,,,,
191,TOI 1346.01,10.73,,0.78,4965.0,,17:06:29.442,+68:50:35.8913,30,,,TOI,-4.18,0.0,0.0,0.0,0.0,0.0,,11.3,11.81,10.68,8.6,K2V,1,5/29/2021,,,,,,,,,,,,,,,,,
192,TOI 1453.01,10.14,,0.71,4920.0,,17:12:53.5849,+57:11:52.0003,30,,,TOI,-4.51,0.0,0.0,0.0,0.0,0.0,,10.73,11.23,10.09,12.7,K2V,1,6/21/2021,,,,,,,,,,,,,,,,,
193,HD 155886,,,,,K2V,17:15:21.08953,-26:35:56.0110,1,5.93,5.08,Baliunas,-4.31,0.0,0.0,0.0,0.0,0.0,,4.8,5.31,4.25,168.0,K2V,1,4/16/2022,,,,,,,,,,,,,,,,,
194,HD 155885,,,,,K1V,17:15:21.27073,-26:36:00.1940,1,5.88,5.03,Baliunas,-4.38,0.0,0.0,0.0,0.0,0.0,,4.78,5.31,4.27,168.0,K1V,1,4/16/2022,,,,,,,,,,,,,,,,,
195,HD 156026,,,,,K5V,17:16:13.36200,-26:32:45.9170,1,7.5,6.34,Baliunas,,0.0,0.0,0.0,0.0,0.0,,5.89,,,1.3,M0V,1,,,,,,,,,,,,,,,,,,
196,HAT-P-14,9.87,2.65,1.82,6600.0,F5V,17:20:27.88,38:14:31.8,30,10.41,9.99,,-4.75,,0.0,38.37,0.0,0.0,,9.87,10.13,9.5,4.5,F5V,0,6/7/2020,,,,,,,,,,,,,,,,,
197,TOI 2133.01,10.86,,0.72,4175.0,,17:24:58.5194,+32:47:54.2307,30,,,TOI,-4.35,0.0,0.0,0.0,0.0,0.0,,11.63,12.4,10.8,13.3,K6V,1,6/21/2021,5/22/2022,,,,,,,,,,,,,,,,
198,TOI 2088.01,10.88,,0.83,4902.0,,17:25:29.9746,+75:52:56.2066,30,,,TOI,-4.48,0.0,0.0,0.0,0.0,0.0,,11.48,12.01,10.83,7.9,K2V,1,11/13/2021,,,,,,,,,,,,,,,,,
199,TOI 2318.01,8.65,,0.84,4968.0,,17:30:21.4396,+40:22:10.0729,18,,,TOI,-4.31,0.0,0.0,0.0,0.0,0.0,,9.24,9.67,8.52,11.6,K2V,1,6/21/2021,7/24/2022,,,,,,,,,,,,,,,,
200,GJ 4020,9.73,,,,K7Ve,17:38:39.6170,+61:14:16.102,30,11.34,10.15,PMSU,-4.74,0.0,0.0,0.0,0.0,0.0,,9.73,10.55,8.84,31.4,K7V,1,9/18/2022,,,,,,,,,,,,,,,,,
201,HD 160346,,,,,K3-V,17:39:16.91640,+03:33:18.8710,2,7.5,6.53,Baliunas,-4.51,0.0,0.0,0.0,0.0,0.0,,6.2,6.75,5.56,99.1,K2V,1,7/24/2022,,,,,,,,,,,,,,,,,
202,HD 161239,,,,,G2IIIb,17:43:21.56493,+24:19:40.1880,1,6.39,5.73,Baliunas,,0.0,0.0,0.0,0.0,0.0,,5.56,5.92,5.1,25.4,G1V,1,,,,,,,,,,,,,,,,,,
203,TrES-4,11.47,1.08,1.66,6200.0,,17:53:13.04,37:12:42.7,30,,,,-4.92,,0.0,10.0,0.0,0.0,,11.47,11.74,11.06,1.9,F7V,0,6/7/2020,,,,,,,,,,,,,,,,,
204,GJ 699,9.51,,,,M4V,17:57:48.7776,4:41:37.176,30,11.24,9.51,MUSCLES,-4.74,0.0,0.0,0.0,0.0,0.0,,8.2,9.81,6.97,546.9,M3.5V,1,6/21/2021,7/29/2022,,,,,,,,,,,,,,,,
205,TOI 1748.01,10.57,,0.77,4837.0,,18:02:57.4344,+60:25:03.4976,30,,,TOI,-4.1,0.0,0.0,0.0,0.0,0.0,,11.16,11.69,10.51,9.9,K2V,1,6/6/2021,9/13/2022,,,,,,,,,,,,,,,,
206,TOI 1747.01,10.43,,0.7,4435.0,,18:03:13.4519,+60:40:30.69,30,,,TOI,-4.17,0.0,0.0,0.0,0.0,0.0,,11.13,11.8,10.38,14.2,K4V,1,6/6/2021,9/13/2022,,,,,,,,,,,,,,,,
207,HD 165341 A,,,,,K0V,18:05:27.37053,+02:29:59.3160,1,,,Baliunas,-4.37,,,0.0,0.0,0.0,,3.92,4.43,3.43,195.6,K0V,1,5/29/2021,9/18/2022,,,,,,,,,,,,,,,,
