,pl_hostname,Gmag/Tmag,st_mass,st_rad,st_teff,SP_TYPE,ra,dec,exptime,B,V,Unnamed: 11,log R'_HK,vsini_brewer,vsini_aspcap,Prot_deriv_days,Prot_phot_days,eProt_phot_days,DR3,G,BP,RP,parallax,sp_type_mamajek,In Activity Catalogue,UT Dates observed,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
22,HD 17925,,,,,K1V,02:52:32.12853,-12:46:10.9600,1,6.91,6.05,Baliunas,-4.0,0.0,0.0,0.0,0.0,0.0,,5.8,6.28,5.25,96.5,K1V,1,9/22/2021,,,,,,,,,,,,,,,,,
23,TOI 1648.01,9.58,,0.84,4872.0,,03:01:36.2831,+69:13:47.7247,30,,,TOI,-4.61,0.0,0.0,0.0,0.0,0.0,,10.18,10.72,9.54,14.3,K2V,1,9/22/2021,,,,,,,,,,,,,,,,,
24,GJ 1054 A,9.43,,,,M1Ve,03:07:55.7522,-28:13:10.963,30,11.72,10.29,PMSU,-3.79,0.0,0.0,0.0,0.0,0.0,,9.43,10.41,8.48,51.1,M0V,1,10/29/2021,,,,,,,,,,,,,,,,,
25,GJ 3203,9.59,,,,K7Ve,03:08:06.6627,-24:45:34.734,30,11.51,10.19,PMSU,-4.87,0.0,0.0,0.0,0.0,0.0,,9.59,10.48,8.68,31.0,K9V,1,10/29/2021,,,,,,,,,,,,,,,,,
26,WASP-11,11.55,1.42,0.89,4800.0,K3V,03:09:28.55,30:40:24.9,30,12.58,11.57,,-4.52,,0.0,50.03,0.0,0.0,,11.55,12.1,10.88,8.0,K3V,1,1/6/2021,10/29/2021,,,,,,,,,,,,,,,,
27,HD 20630,5.66,,,,G5V,03:19:21.696,03:22:12.71,1,5.52,4.85,Baliunas,,,,,,,,4.66,5.01,4.15,107.8,,1,,,,,,,,,,,,,,,,,,
28,GJ 3218,10.35,,,,M2V,03:21:46.9231,-06:40:24.217,30,12.49,11.31,PMSU,-4.09,0.0,,0.0,0.0,0.0,,10.35,11.59,9.29,58.0,M2V,0,10/29/2021,,,,,,,,,,,,,,,,,
29,GJ 140 A,9.95,,,,M1.5Ve,03:24:06.4798,+23:47:06.126,30,12.21,10.42,PMSU,-3.86,0.0,0.0,0.0,0.0,0.0,,9.95,11.0,8.94,48.3,M0.5V,1,10/29/2021,,,,,,,,,,,,,,,,,
30,K2-175,10.63,1.09,1.42,5910.0,K0,03:30:00.86,17:35:03.1,30,11.5,9.3,,-4.92,0.0,0.0,0.0,0.0,0.0,,10.63,10.98,10.13,4.0,G4V,1,9/22/2021,,,,,,,,,,,,,,,,,
31,HD 22049,,,,,K2V,03:32:55.84440,-09:27:29.7470,0,4.61,3.73,"Baliunas, MUSCLES",-4.27,,0.0,0.0,0.0,0.0,,3.37,4.0,2.88,310.6,K2V,1,10/29/2021,11/21/2021,,,,,,,,,,,,,,,,
32,HD 22072,,,,,K0.5IVFe-1,03:34:08.37840,+17:49:58.2780,1,7.06,,Baliunas,-4.7,,0.0,0.0,0.0,0.0,,5.9,6.39,5.3,23.9,K1V,1,8/29/2021,11/21/2021,,,,,,,,,,,,,,,,
33,K2-56,10.86,1.67,1.08,5770.0,K0,03:34:36.23,20:35:57.2,30,11.77,10.85,,-4.72,0.0,0.0,0.0,32.63,0.0,,10.86,11.24,10.35,5.5,G7V,1,10/31/2020,01/16/22,,,,,,,,,,,,,,,,
34,K2-77,11.92,0.8,0.76,4970.0,K4V,03:40:54.82,12:34:21.4,30,13.23,12.16,,-4.25,0.0,0.0,0.0,20.31,2.12,,11.92,12.48,11.24,7.0,K3V,1,10/6/2020,10/29/2021,,,,,,,,,,,,,,,,
35,HD 23249,,,,,K0+IV,03:43:14.90160,-09:45:48.3080,1,4.46,3.54,Baliunas,-4.92,,0.0,0.0,0.0,0.0,,3.13,3.86,2.71,110.2,K2V,1,8/29/2021,11/21/2021,,,,,,,,,,,,,,,,
36,K2-111,10.93,0.88,1.23,5730.0,,03:59:33.54,21:17:55.3,30,11.8,11.14,,-4.87,0.0,0.0,0.0,0.0,0.0,,10.93,11.31,10.41,5.0,G8V,0,10/2/2020,01/16/22,,,,,,,,,,,,,,,,
37,HD 25998,,,,,F8V,04:08:36.61773,+38:02:23.1500,1,5.97,,Baliunas,-4.24,0.0,0.0,0.0,0.0,0.0,,5.37,5.67,5.0,46.9,F6V,0,3/21/2021,3/20/2022,,,,,,,,,,,,,,,,
38,HD 26965,,,,,K0V,04:15:17.57567,-07:38:41.5250,1,5.25,4.43,Baliunas,-5.06,0.0,0.0,0.0,0.0,0.0,,18.05,18.67,17.03,199.6,K6V,1,3/21/2021,3/20/2022,,,,,,,,,,,,,,,,
39,GJ 166 C,9.76,,,,M4.5V,04:15:21.5389,-07:39:20.718,30,12.85,11.17,PMSU,-3.18,0.0,0.0,0.0,0.0,0.0,,17.23,17.6,16.58,0.4,K1V,0,01/16/22,,,,,,,,,,,,,,,,,
40,HD 26913,,,,,G8V,04:15:25.78680,+06:11:58.7580,3,7.58,6.92,Baliunas,-4.2,0.0,0.0,0.0,0.0,0.0,,6.76,7.14,6.27,45.2,G6V,0,3/21/2021,3/20/2022,,,,,,,,,,,,,,,,
41,HD 26923,,,,,G0IV,04:15:28.79953,+06:11:12.7140,1,6.86,,Baliunas,-4.31,0.0,0.0,0.0,0.0,0.0,,6.16,6.48,5.73,45.3,F9V,0,3/21/2021,3/20/2022,,,,,,,,,,,,,,,,
42,TOI 1683.01,9.79,,0.7,4402.0,,04:23:55.1161,+27:49:20.5323,30,,,TOI,-4.12,0.0,0.0,0.0,0.0,0.0,,10.51,11.19,9.74,19.5,K5V,1,3/21/2021,10/11/2021,,,,,,,,,,,,,,,,
43,K2-136,10.86,0.74,0.66,4500.0,K5.5V,04:29:38.99,22:52:57.8,30,12.48,11.2,,-4.07,0.0,0.0,0.0,14.68,1.06,,10.85,11.56,10.07,16.8,K5V,1,10/2/2020,9/22/2021,,,,,,,,,,,,,,,,
44,HD 29645,,,,,F9IV-V,04:41:50.25647,+38:16:48.6660,1,6.56,,Baliunas,-4.83,0.0,0.0,0.0,0.0,0.0,,5.82,6.13,5.4,31.3,F9V,0,3/21/2021,3/20/2022,,,,,,,,,,,,,,,,
45,GJ 176,9.95,,,,M2.5V,04:42:55.7904,18:57:30.888,30,11.49,9.95,MUSCLES,-4.39,0.0,0.0,0.0,0.0,0.0,,9.0,10.23,7.92,105.4,M2V,1,3/21/2021,10/29/2021,1/18/2022,,,,,,,,,,,,,,,
46,HD 30495,5.32,,,,G2.5IV-V,04:47:36.29,-16:56:04.04,1,6.14,5.5,Baliunas,,,,,,,,5.32,5.65,4.83,75.5,,1,,,,,,,,,,,,,,,,,,
47,K2-232,9.73,1.19,1.16,6150.0,G0,04:55:03.96,18:39:16.3,30,10.46,9.85,,-4.77,0.0,0.0,0.0,0.0,0.0,,9.73,10.05,9.27,7.6,F9.5V,0,10/31/2020,1/17/2022,,,,,,,,,,,,,,,,
48,GJ 182,9.32,,,,M0Ve,04:59:34.8341,+01:47:00.672,30,11.48,10.11,PMSU,-3.52,0.0,0.0,0.0,0.0,0.0,,9.32,10.29,8.38,41.0,M0V,1,10/29/2021,,,,,,,,,,,,,,,,,
49,HD 32147,,,,,K3+V,05:00:49.00033,-05:45:13.0390,1,7.27,6.21,Baliunas,-4.51,0.0,0.0,0.0,0.0,0.0,,5.87,6.45,5.2,113.1,K3V,1,3/21/2021,01/16/22,,,,,,,,,,,,,,,,
50,WASP-35,10.85,1.05,1.08,5990.0,,05:04:19.63,-06:13:47.4,30,11.55,10.94,,-4.71,0.0,0.0,0.0,0.0,0.0,,10.85,11.18,10.39,4.9,G0V,0,10/31/2020,1/18/2022,,,,,,,,,,,,,,,,
51,K2-291,9.87,0.93,0.9,5520.0,G0,05:05:46.99,21:32:55.1,30,10.83,10.01,,-4.42,0.0,0.0,0.0,18.37,1.67,,9.87,10.24,9.34,11.1,G0V,0,10/2/2020,9/22/2021,,,,,,,,,,,,,,,,
52,KELT-7,8.45,1.76,1.81,6770.0,F2,05:13:10.93,33:19:05.4,15,8.97,8.54,,-4.44,0.0,0.0,0.0,0.0,0.0,,8.45,8.69,8.11,7.3,F4V,0,1/6/2021,1/10/2022,,,,,,,,,,,,,,,,
53,HD 37394,,,,,K1,05:41:20.33687,+53:28:51.7760,1,7.07,6.23,Baliunas,-4.28,,0.0,0.0,0.0,0.0,,5.98,6.43,5.42,81.4,K0V,1,9/22/2021,11/21/2021,,,,,,,,,,,,,,,,
54,HD 39587,,,,,G0V,05:54:22.97593,+20:16:34.2910,1,5.0,4.4,Baliunas,-4.26,,0.0,0.0,0.0,0.0,,4.18,4.56,3.79,113.1,F9.5V,0,10/25/2021,,,,,,,,,,,,,,,,,
55,TOI 1693.01,10.67,,0.46,3474.0,,06:01:14.0029,+34:46:23.1254,30,,,TOI,-4.55,0.0,0.0,0.0,0.0,0.0,,11.84,13.15,10.72,32.4,M2.5V,1,2/20/2021,10/11/2021,,,,,,,,,,,,,,,,
56,KELT-2 A,8.58,1.54,1.93,6330.0,F7V,06:10:39.35,30:57:25.7,17,9.23,8.71,,-4.74,0.0,0.0,0.0,0.0,0.0,,8.58,8.86,8.18,7.4,F7V,0,10/31/2020,1/10/2022,,,,,,,,,,,,,,,,
57,GJ 234 A,9.58,,,,M4.5V,06:29:23.3915,-02:48:48.803,30,12.76,11.07,PMSU,-5.03,0.0,0.0,0.0,0.0,0.0,,9.58,11.38,8.28,243.0,M4V,0,1/18/2022,,,,,,,,,,,,,,,,,
58,TOI 1701.01,10.93,,0.88,4685.0,,06:39:35.5653,+42:07:52.8204,30,,,TOI,-4.63,0.0,0.0,0.0,0.0,0.0,,11.55,12.11,10.88,8.1,K3V,1,2/20/2021,10/11/2021,11/20/2021,,,,,,,,,,,,,,,
59,CoRoT-7,11.52,0.82,0.83,5280.0,K0V,06:43:49.47,-01:03:46.9,30,12.78,11.73,,-4.54,,,18.26,0.0,0.0,,11.52,11.96,10.95,6.2,K1V,1,10/6/2020,11/20/2021,,,,,,,,,,,,,,,,
60,TOI 1730.01,10.36,,0.53,3691.0,,07:11:27.7982,+48:19:40.5578,30,,,TOI,-4.41,0.0,0.0,0.0,0.0,0.0,,11.39,12.48,10.39,28.0,M1V,1,2/20/2021,10/11/2021,,,,,,,,,,,,,,,,
61,HAT-P-24,11.64,1.37,1.38,6370.0,F8,07:15:18.01,14:15:45.4,30,12.21,11.76,,-4.76,,0.0,7.67,0.0,0.0,,11.64,11.88,11.25,2.4,F5V,0,1/5/2021,2/13/2022,,,,,,,,,,,,,,,,
62,XO-4,10.51,1.1,1.45,6400.0,,07:21:33.17,58:16:05.2,30,11.15,10.81,,-4.8,,0.0,11.11,0.0,0.0,,10.51,10.78,10.12,3.6,F6V,0,1/5/2021,1/18/2022,,,,,,,,,,,,,,,,
63,HAT-P-20,10.99,0.76,0.69,4600.0,K3V,07:27:39.95,24:20:11.9,30,12.58,11.35,,-3.97,0.0,,6.09,0.0,0.0,,10.99,11.66,10.23,14.0,K4V,1,1/10/2022,,,,,,,,,,,,,,,,,
64,HAT-P-33,11.02,1.82,1.79,6450.0,,07:32:44.21,33:50:06.2,30,11.66,11.03,,-4.67,0.0,0.0,0.0,0.0,0.0,,11.02,11.26,10.66,2.5,F5V,0,1/10/2022,,,,,,,,,,,,,,,,,
65,GJ 278 C,8.32,,,,M0.5VeFe-2,07:34:37.4475,+31:52:10.181,30,10.56,9.27,PMSU,-4.71,0.0,0.0,0.0,0.0,0.0,,8.32,9.29,7.35,66.2,M0V,0,2/13/2022,,,,,,,,,,,,,,,,,
66,TOI 969.01,10.54,,0.82,4249.0,,07:40:32.8046,+02:05:54.9163,30,,,TOI,-4.06,0.0,0.0,0.0,0.0,0.0,,11.27,11.97,10.5,12.9,K5V,1,3/21/2021,10/29/2021,2/13/2022,,,,,,,,,,,,,,,
67,YZ CMi,9.68,,,3542.0,M4.0Ve,07:44:40,03:33:08.9,30,12.83,11.23,PMSU,-3.39,0.0,0.0,0.0,0.0,0.0,,9.68,11.44,8.44,167.0,M4V,1,2/6/2021,1/10/2022,,,,,,,,,,,,,,,,
68,XO-2 N,10.97,0.97,0.99,5340.0,G9V,07:48:06.47,50:13:32.9,30,12.0,11.14,,-4.7,,,22.77,0.0,0.0,,10.97,11.42,10.4,6.5,K1V,0,1/5/2021,1/18/2022,,,,,,,,,,,,,,,,
69,GJ 3470,11.35,0.54,0.55,3600.0,M2.0Ve,07:59:05.84,15:23:29.4,30,13.5,,,-4.34,0.0,,8.93,0.0,0.0,,11.35,12.59,10.29,34.0,M2V,1,10/6/2020,1/10/2022,,,,,,,,,,,,,,,,
70,GJ 3481,8.84,,,,K7Ve,08:08:13.1858357712,+21:06:18.249434626 ,21,10.89,,PMSU,-4.13,0.0,0.0,0.0,0.0,0.0,,8.84,9.68,7.98,56.0,K6V,1,1/12/2022,,,,,,,,,,,,,,,,,
71,GJ 3482,10.1,,,,M3.0V,08:08:13.5971,+21:06:09.714,30,12.65,11.2,PMSU,-3.6,0.0,0.0,0.0,0.0,0.0,,8.84,9.68,7.98,56.0,K6V,1,1/12/2022,,,,,,,,,,,,,,,,,
72,HAT-P-30,10.3,1.55,1.31,6300.0,G0,08:15:47.97,05:50:12.2,30,10.95,10.35,,-4.79,,0.0,0.0,0.0,0.0,,10.3,10.58,9.89,4.6,F7V,0,1/12/2022,,,,,,,,,,,,,,,,,
73,K2-105,11.71,0.99,0.91,5460.0,,08:21:40.86,13:29:51.1,30,12.68,11.75,,-4.5,0.0,0.0,0.0,24.06,3.35,,11.71,12.13,11.16,5.0,G9V,0,10/31/2020,1/12/2022,,,,,,,,,,,,,,,,
74,GJ 2069 A,10.55,,,,M5Ve,08:31:37.5740,+19:23:39.398,30,12.83,11.81,PMSU,-3.78,0.0,0.0,0.0,0.0,0.0,,10.55,12.19,9.32,60.2,M3.5V,0,1/25/2022,,,,,,,,,,,,,,,,,
75,K2-184,10.13,0.86,0.78,5220.0,,08:36:33.63,14:27:43,30,11.23,10.34,,-4.49,0.0,0.0,0.0,22.63,6.0,,10.13,10.57,9.56,13.2,K0V,0,1/12/2022,,,,,,,,,,,,,,,,,
76,K2-100,10.41,1.23,1.22,6170.0,G0V,08:38:24.3,20:06:21.8,30,11.09,10.52,,-4.21,0.0,0.0,0.0,4.26,0.0,,10.41,10.71,9.97,5.3,F9V,0,5/23/2021,11/20/2021,,,,,,,,,,,,,,,,
77,K2-263,11.41,0.88,0.85,5370.0,G9V,08:38:43.77,15:40:50.3,30,,,,-4.76,0.0,0.0,0.0,0.0,0.0,,11.41,11.82,10.86,6.1,G9V,0,10/31/2020,1/12/2022,,,,,,,,,,,,,,,,
78,HD 72905,,,,,G0.5V,08:39:11.70240,+65:01:15.2760,1,6.26,5.64,Baliunas,-4.2,,0.0,0.0,0.0,0.0,,5.48,5.83,5.03,69.2,G0V,0,10/25/2021,,,,,,,,,,,,,,,,,
79,HAT-P-13,10.42,1.22,1.56,5650.0,G4,08:39:31.81,47:21:07.4,30,11.15,10.42,,-4.98,0.0,0.0,0.0,0.0,0.0,,10.42,10.79,9.91,4.0,G6V,0,1/6/2021,1/25/2022,,,,,,,,,,,,,,,,
80,K2-182,11.72,0.88,0.8,5160.0,,08:40:43.28,10:58:58.6,30,12.87,12.0,,-4.28,0.0,0.0,0.0,24.84,3.69,,11.72,12.19,11.12,6.4,K1V,1,1/5/2021,11/20/2021,,,,,,,,,,,,,,,,
81,WASP-84,10.58,0.84,0.75,5310.0,,08:44:25.7,01:51:36.1,30,11.64,10.83,,-4.18,0.0,0.0,0.0,0.0,0.0,,10.57,11.02,10.0,9.9,K1V,0,10/31/2020,11/20/2021,2/27/2022,,,,,,,,,,,,,,,
82,K2-275,11.81,0.79,0.73,4810.0,K3V,08:48:40.77,20:27:18.3,30,13.02,12.06,,-4.04,0.0,0.0,0.0,9.37,0.0,,11.81,12.36,11.15,8.1,K2V,1,,11/20/2021,2/27/2022,,,,,,,,,,,,,,,
83,HD 75332,,,,,F7Vs,08:50:32.22313,+33:17:06.2300,1,6.74,6.21,Baliunas,-4.31,0.0,0.0,0.0,0.0,0.0,,6.07,6.36,5.68,36.3,F7V,0,10/25/2021,11/21/2021,,,,,,,,,,,,,,,,
84,55 Cnc,5.71,0.91,0.94,5200.0,K0IV-V,08:52:35.81,28:19:50.9,1,6.82,,,-4.82,,0.0,27.97,0.0,0.0,,5.71,6.17,5.16,79.4,K0V,1,10/31/2020,1/5/2021,2/6/2021,2/20/2021,10/29/2021,11/20/2021,11/21/2021,1/10/2022,1/12/2022,1/25/2022,2/11/2022,,,,,,,
85,WASP-65,11.75,0.93,1.01,5600.0,,08:53:17.83,08:31:22.9,30,12.39,12.45,,-4.54,0.0,0.0,0.0,0.0,0.0,,11.75,12.11,11.25,3.6,G5V,0,1/5/2021,1/25/2022,,,,,,,,,,,,,,,,
86,HD 76151,,,,,G2V,08:54:17.94813,-05:26:04.0880,1,6.67,6.0,Baliunas,-4.49,0.0,0.0,0.0,0.0,0.0,,5.83,6.2,5.37,59.3,G2V,1,3/31/2021,2/16/2022,,,,,,,,,,,,,,,,
